Time(ms),AccX(0)[G],AccY(0)[G],AccZ(0)[G],GyrX(0)[deg/s],GyrY(0)[deg/s],GyrZ(0)[deg/s],MagX(0)[uT],MagY(0)[uT],MagZ(0)[uT],Roll(0)[deg],Pitch(0)[deg],Yaw(0)[deg],Qw(0),Qx(0),Qy(0),Qz(0),
0.000000,1.021,0.066,0.007,2.40,7.30,-38.40,-19.50,-43.10,21.70,89.24,-84.56,51.70,0.268,0.676,-0.204,0.655,
0.000000,1.037,0.062,-0.004,2.50,5.90,-37.60,-19.70,-43.30,21.70,88.22,-83.87,52.78,0.272,0.677,-0.200,0.654,
0.000000,1.037,0.014,-0.008,0.20,5.80,-38.30,-19.00,-46.90,21.40,87.47,-83.11,53.56,0.276,0.678,-0.195,0.653,
0.000000,0.983,0.149,0.016,-0.50,4.80,-35.50,-19.20,-47.50,21.50,86.92,-82.37,54.10,0.281,0.678,-0.190,0.652,
0.000000,0.983,0.201,0.016,1.70,3.60,-31.30,-18.60,-47.80,21.40,86.63,-81.69,54.42,0.284,0.679,-0.186,0.651,
0.000000,1.018,0.129,0.015,1.80,5.70,-33.10,-18.00,-48.90,20.80,86.27,-81.04,54.81,0.288,0.680,-0.182,0.650,
0.000000,1.030,0.133,0.015,0.10,8.00,-36.20,-17.30,-49.30,21.00,85.59,-80.35,55.52,0.292,0.680,-0.177,0.649,
0.000000,1.022,0.176,0.022,2.80,6.50,-35.50,-18.10,-49.60,20.90,85.15,-79.62,56.00,0.296,0.680,-0.172,0.648,
0.000000,0.991,0.165,0.027,8.80,4.70,-35.20,-17.60,-49.60,20.80,85.09,-78.91,56.21,0.299,0.681,-0.167,0.647,
0.000000,1.018,0.133,0.011,8.50,5.20,-36.40,-17.80,-49.70,20.30,85.04,-78.22,56.45,0.302,0.682,-0.162,0.646,
0.000000,1.027,0.216,0.015,1.50,7.60,-35.80,-17.60,-51.80,20.30,84.75,-77.48,56.81,0.306,0.682,-0.157,0.645,
0.000000,0.992,0.292,0.039,-0.90,7.70,-31.90,-17.60,-51.80,20.30,84.25,-76.76,57.30,0.310,0.682,-0.152,0.644,
0.000000,0.960,0.221,0.032,1.60,5.90,-30.80,-17.10,-48.20,19.90,84.01,-76.14,57.58,0.314,0.682,-0.148,0.643,
0.000000,1.014,0.161,0.015,1.90,5.70,-33.70,-17.10,-48.20,19.90,83.88,-75.47,57.75,0.318,0.683,-0.143,0.642,
0.000000,0.996,0.295,0.039,1.90,6.30,-32.90,-16.50,-49.60,19.30,83.68,-74.84,58.00,0.321,0.683,-0.139,0.641,
0.000000,0.965,0.407,0.070,2.40,6.20,-28.60,-17.80,-53.20,19.00,83.51,-74.24,58.22,0.324,0.683,-0.135,0.641,
0.000000,1.024,0.402,-0.031,1.10,4.50,-30.40,-20.80,-54.10,19.30,83.42,-73.64,58.35,0.327,0.683,-0.131,0.639,
0.000000,1.355,0.002,-0.288,-7.00,4.70,-37.90,-15.10,-54.80,18.80,83.25,-72.92,58.39,0.332,0.683,-0.127,0.638,
0.000000,1.332,-0.496,0.361,9.00,5.50,-38.70,-15.10,-55.40,18.80,83.29,-72.13,58.43,0.336,0.684,-0.122,0.636,
0.000000,1.066,0.646,-0.188,13.90,13.00,-27.10,-14.80,-55.90,18.60,83.14,-71.51,58.86,0.338,0.684,-0.116,0.636,
0.000000,1.386,0.321,-0.332,25.40,20.80,-31.50,-15.20,-56.70,18.60,82.65,-70.88,59.88,0.339,0.684,-0.109,0.637,
0.000000,1.030,0.172,-0.233,-1.00,1.50,-36.20,-15.20,-57.90,18.10,82.63,-70.16,60.04,0.342,0.684,-0.103,0.636,
0.000000,0.957,0.328,0.024,-4.30,-1.40,-34.50,-15.30,-58.40,18.40,82.88,-69.48,59.65,0.347,0.684,-0.100,0.634,
0.000000,0.930,0.419,0.063,-2.30,2.70,-29.90,-15.00,-59.20,18.20,82.95,-68.85,59.55,0.351,0.685,-0.096,0.632,
0.000000,0.973,0.418,0.031,-11.30,6.30,-28.80,-14.80,-60.00,18.20,82.63,-68.24,59.68,0.355,0.684,-0.094,0.631,
0.000000,0.953,0.332,0.071,-6.30,8.20,-33.80,-14.00,-60.90,18.40,82.28,-67.57,59.87,0.360,0.683,-0.090,0.629,
0.000000,0.914,0.376,0.068,5.00,7.40,-37.20,-14.00,-61.70,18.30,82.15,-66.83,60.06,0.364,0.683,-0.085,0.628,
0.000000,0.899,0.451,0.056,8.30,5.20,-34.20,-13.70,-62.30,18.80,82.28,-66.12,60.10,0.367,0.683,-0.080,0.627,
0.000000,0.942,0.407,0.044,3.70,5.20,-33.10,-13.60,-62.90,19.30,82.35,-65.45,60.12,0.370,0.683,-0.075,0.625,
0.000000,0.969,0.359,0.039,4.80,7.10,-34.10,-13.40,-63.70,19.50,82.37,-64.80,60.20,0.373,0.683,-0.070,0.624,
0.000000,0.969,0.359,0.039,4.80,7.10,-34.10,-13.40,-63.70,19.50,82.37,-64.80,60.20,0.373,0.683,-0.070,0.624,
0.000000,0.923,0.466,0.075,14.00,7.30,-31.90,-12.80,-64.70,20.50,82.51,-63.46,60.58,0.377,0.684,-0.059,0.622,
0.000000,0.938,0.395,0.040,8.30,5.50,-34.50,-12.50,-65.20,20.50,82.65,-62.78,60.65,0.380,0.684,-0.053,0.621,
0.000000,0.914,0.364,0.064,4.70,4.50,-35.30,-12.20,-65.60,21.10,82.75,-62.06,60.66,0.383,0.684,-0.048,0.619,
0.000000,0.903,0.463,0.060,6.30,4.10,-31.40,-12.50,-66.10,21.20,82.83,-61.45,60.68,0.386,0.684,-0.043,0.617,
0.000000,0.919,0.482,0.060,7.90,4.40,-27.90,-12.40,-66.60,21.40,82.96,-60.87,60.72,0.388,0.685,-0.039,0.616,
0.000000,0.911,0.498,0.064,4.20,3.90,-28.20,-12.00,-66.50,21.70,83.03,-60.31,60.76,0.390,0.685,-0.035,0.615,
0.000000,0.891,0.443,0.084,2.70,3.50,-30.30,-12.10,-67.00,22.50,83.08,-59.71,60.76,0.393,0.685,-0.031,0.613,
0.000000,0.872,0.487,0.080,4.00,4.00,-30.40,-11.70,-67.10,22.70,83.15,-59.10,60.77,0.396,0.685,-0.026,0.611,
0.000000,0.880,0.530,0.061,2.00,3.70,-28.50,-12.20,-67.30,22.80,83.16,-58.54,60.81,0.399,0.684,-0.022,0.610,
0.000000,0.907,0.498,0.044,0.60,2.60,-28.10,-11.60,-67.90,23.30,83.19,-57.97,60.79,0.401,0.684,-0.019,0.608,
0.000000,0.856,0.515,0.085,4.00,2.40,-28.20,-11.60,-67.80,23.60,83.22,-57.43,60.81,0.404,0.684,-0.015,0.607,
0.000000,0.829,0.575,0.081,5.80,2.10,-26.80,-11.40,-67.80,23.70,83.36,-56.88,60.78,0.406,0.684,-0.011,0.605,
0.000000,0.845,0.602,0.061,1.10,1.30,-26.40,-11.70,-68.10,24.00,83.46,-56.35,60.72,0.409,0.684,-0.008,0.604,
0.000000,0.853,0.590,0.061,-1.60,0.80,-27.70,-11.80,-68.20,24.20,83.51,-55.79,60.63,0.412,0.684,-0.004,0.602,
0.000000,0.837,0.547,0.085,1.50,1.50,-29.50,-11.50,-68.60,24.60,83.58,-55.21,60.56,0.415,0.684,-0.001,0.600,
0.000000,0.810,0.638,0.090,2.50,2.90,-29.00,-11.80,-68.70,24.80,83.62,-54.57,60.57,0.418,0.684,0.004,0.598,
0.000000,0.826,0.678,0.074,-3.30,3.20,-27.70,-11.20,-68.60,25.00,83.58,-54.01,60.57,0.421,0.683,0.007,0.596,
0.000000,0.830,0.666,0.073,-6.10,3.50,-29.60,-11.20,-68.60,24.80,83.46,-53.43,60.57,0.425,0.683,0.010,0.595,
